region,temp,rain,area,crop,prod,price
2,33,1018,9,3,11.7,9172.8
2,30,978,12,3,15.6,10374
2,31,979,33,3,42.9,39210.6
2,31,1036,44,3,57.2,38896
2,32,1005,13,3,16.9,16849.3
2,30,1023,7,3,9.1,7098
2,30,987,5,3,6.5,4238
2,31,985,25,3,32.5,26195
2,32,974,17,3,22.1,20376.2
2,33,976,25,3,32.5,27462.5
3,28,1309,6,3,7.8,8400.6
3,29,1227,10,3,13,13728
3,30,1285,14,3,18.2,18327.4
3,33,1283,32,3,41.6,47798.4
3,32,1218,41,3,53.3,58630
3,29,1307,19,3,24.7,26354.9
3,30,1299,25,3,32.5,37895
3,32,1283,40,3,52,61672
3,31,1318,21,3,27.3,29702.4
3,29,1260,35,3,45.5,50960
4,28,1919,2,3,0.4,453.6
4,27,2214,37,3,7.4,7414.8
4,29,2085,44,3,8.8,9363.2
4,30,2075,15,3,3,3393
4,31,1989,9,3,1.8,2001.6
4,27,2003,30,3,6,6288
4,27,2171,29,3,5.8,5834.8
4,28,1983,49,3,9.8,10584
4,29,2124,47,3,9.4,10274.2
4,30,2068,49,3,9.8,10397.8
5,28,2482,12,3,2.4,2781.6
5,27,2424,31,3,6.2,6547.2
5,28,2434,11,3,2.2,2563
5,26,2427,17,3,3.4,3787.6
5,28,2504,48,3,9.6,10185.6
5,29,2542,32,3,6.4,6707.2
5,27,2523,27,3,5.4,5972.4
5,29,2569,34,3,6.8,7820
5,26,2537,16,3,3.2,3708.8
5,28,2534,34,3,6.8,7391.6
6,29,1611,29,3,5.8,6612
6,26,1554,45,3,9,10377
6,27,1489,45,3,9,10485
6,28,1616,39,3,7.8,9196.2
6,26,1507,35,3,7,7532
6,29,1549,13,3,2.6,3044.6
6,28,1541,32,3,6.4,7628.8
6,27,1502,25,3,5,5275
6,26,1483,14,3,2.8,3326.4
6,28,1459,48,3,9.6,10214.4
